,lugares,labels,Quotes,order
236,the Sistine Chapel,FAC," 
“Signore,” Olivetti whispered in the camerlegno’s ear, “it is true that four of our cardinals have not yet reported to the Sistine Chapel, but there is no need for alarm",236
237,Vatican City,GPE,"Every one of them checked into the residence hall this m 
fely inside
orning, so we know they are sa 
Vatican City",237
238,Paris,GPE,"There is Cardinal Lamassé from Paris, Cardinal Guidera from Barcelona, Cardinal Ebner from Frankfurt ",238
239,Barcelona,GPE,"There is Cardinal Lamassé from Paris, Cardinal Guidera from Barcelona, Cardinal Ebner from Frankfurt ",239
240,Frankfurt,GPE,"There is Cardinal Lamassé from Paris, Cardinal Guidera from Barcelona, Cardinal Ebner from Frankfurt ",240
241,Italy,GPE,“And from Italy ,241
242,Vatican,FAC,"The church had made some deadly enem 
plar, arm 
ies through the years-the Hassassin, the Knights Tem 
ies that had been
either hunted by the Vatican or betrayed by them",242
243,the City of God,GPE,"“Isn’t threatening to destroy the City of God enough?”
“Forget your four cardinals",243
244,Rome,GPE,"What else do I know? That this whole situation is insanity, that’s what I know! “After the brandings, the scientists were murdered, and their bodies were dropped in public locations around Rome as a warning to other scientists not to join the Illuminati",244
245,Rome,GPE,Have you not counted lately? There are over four hundred Catholic churches in Rome,245
246,Vatican City,GPE,The Catholic Church will continue with or without Vatican City,246
247,Vatican City,GPE,"Tell me, why is Vatican City a walled citadel?”
“Men of God live in a dangerous world,” the camerlegno said",247
248,Vatican,FAC," 
“How young areyou? The Vatican is a fortress because the Catholic Church holds ha 
lf of 
its equity insideits walls-rare paintings, sculpture, devalued jewels, priceless books ",248
249,Vatican Bank,GPE,then there is the gold bullion and the real estate deeds inside the Vatican Bank vaults,249
250,Vatican,GPE,"Inside estimates put the raw value of Vaticandolla 
City at 48",250
251,Illuminati Diamond,LOC,".”
i 
Langdon flashed on the alleged Illum nati fortunes, the ancient wealth of the Bavarian stone masons, the Rothschilds, the Bilderbergers, the legendary Illuminati Diamond",251
252,Mortati,GPE," 42
C ardinal Mortati was sweating now in his black robe",252
253,Mortati,GPE,Were they ill? Something they ate? Mortati doubted it,253
254,Milan,GPE,Tonight that man was Cardinal Aldo Baggia from Milan,254
255,Mortati,GPE, So where the devil is he? Mortati wondered,255
256,Mortati,GPE,"A week ago, the College of Cardinals had unanimously chosen Mortati for the office known as The Great Elector 
’s
-the conclave 
internal master of ceremonies",256
257,the Sistine Chapel,FAC,"Even though the camerlegno was the church’s ranking official, the camerlegno was only a priest and had little familiarity with the complex election process, so one cardinal was selected to oversee the ceremony from within the Sistine Chapel",257
258,The Great Elector,FAC," 
Cardinals often joked that being appointed The Great Elector was the cruelest honor in Christendom",258
259,Mortati,GPE," 
Mortati held no grudge, though",259
260,Mortati,GPE,"Although Mortati was technically still within the legal ag 
e window for election,
he was getting a bit old to be a serious candidate",260
261,Mortati,GPE,"Mortati suspected much of the cardinals’ dislike was jealousy, and Mortati i 
actually adm red the young man, secretly applauding the late Pope’s selection for chamberlain",261
262,Mortati,GPE,"The miracle and wonder of it, Mortati thought, often wishing his own childhood had presented an event that fostered that kind of aith",262
263,Mortati,GPE," 
doubtless f 
Unfortunately for the church, Mortati knew, the camerlegno would never become Pope in 
his elder years",263
264,Mortati,GPE," 
Mortati looked up",264
265,St. Peter’s Square,GPE," 43
L angdon stood m nless at the Pope’s bulle 
otio 
tproof window and gazed down at the
bustle of media trailers in St",265
266,Rome,GPE,".”
“You suggest we cancel conclave right now?”
“Do I have a choice?”
“What about your charge to bring a new Pope?”
The young chamberlain sighed and turned to the window, his eyes drifting out onto the sprawl of Rome 
ld m below",266
267,Marching,FAC,“Marching one hundred sixty-five cardinals unprepared and unprotected into Rome would be reckless,267
268,Rome,GPE,“Marching one hundred sixty-five cardinals unprepared and unprotected into Rome would be reckless,268
269,the Sistine Chapel,FAC," 
“In addition,” Olivetti said, “the Sistine Chapel is a fortress",269
270,Rome,GPE,"Some of surrounding 
Rome may be in danger",270
271,St. Peter’s,GPE,.” She glanced warily out the window at the crowd in St,271
272,Vatican City,GPE,"There is a possibility, if we kill power to Vatican City, that we can eliminate the background RF
and create a clean enough environment to get a reading on that canister’s ma field",272
273,ma field,FAC,"There is a possibility, if we kill power to Vatican City, that we can eliminate the background RF
and create a clean enough environment to get a reading on that canister’s ma field",273
274,Vatican City,GPE,"“You want to black outVatican City?”
“Possibly",274
275,the Sistine Chapel,FAC,"“Stand on the altar of the Sistine Chapel and lie to the College of Cardinals?”
“For their own safety",275
276,Vatican City,GPE,"“Believe me, removing all protection from Vatican City in order to stake out hundreds of churches is what the Illuminati hopewe will do ",276
277,St. Francis,GPE, prayer of St,277
278,London,GPE," 44
T he central office of the British Broadcast Corporation (B ) is in London just west BC 
of Piccadilly 
rcus",278
279,Piccadilly,GPE," 44
T he central office of the British Broadcast Corporation (B ) is in London just west BC 
of Piccadilly 
rcus",279
280,Mid-East,LOC," 
The voice on the line was raspy, with a Mid-East accent",280
281,Vatican City,GPE,"The public, it seemed, had little interest in Vatican City",281
282,Rome,GPE,"“What’s the angle?”
“Do you have a TV reporter in Rome covering the election?”
“I believe so",282
283,Vatican City,GPE,"Yawning, she looked at her computer and typed in the keywords “Vatican City",283
284,London,GPE,He was a new guy the BBC had just brought up from some trashy London tabloid to handle some of the BBC’s more mundane coverage,284
285,Vatican City,GPE,The BBC content editor copied down the reporter’s satelliteVatican City,285
286,Vatican,FAC,"But Vittoria knew if news of the Vatican predicament leaked out, the entire area could fill with onlookers in a matter of minutes",286
287,Vatican City,GPE,The archives are across Vatican City,287
288,Italy,GPE,Italy is a bit far to come on a lark when you make a teacher’s salary,288
289,the Santa Ana Gate,FAC,“Just behind the Santa Ana Gate,289
290,St. Peter’s Throne,GPE,Most scholars believe it is through the secret door behind St,290
291,St. Peter’s,GPE,".”
Overhead the bells of St",291
292,the Borgia Courtyard,FAC,".”46
T he Secret Vatican Archives are located at the far end of the Borgia Courtyard directly up a hill from the Gate of Santa Ana",292
293,the Gate of Santa Ana,FAC,".”46
T he Secret Vatican Archives are located at the far end of the Borgia Courtyard directly up a hill from the Gate of Santa Ana",293
294,Vatican,FAC,"Galileo’s Illuminati needed to protect themselves from the Vatican, so they founded an ultrasecret Illuminati meeting place here in Rome",294
295,Rome,GPE,"Galileo’s Illuminati needed to protect themselves from the Vatican, so they founded an ultrasecret Illuminati meeting place here in Rome",295
296,Vatican,FAC,Their meeting place was simply where they could safely congregate and discuss topics forbidden by the Vatican,296
297,Rome,GPE,"Word of Galileo’s brotherhood started to spread in the 1630s, and scien ts
tis 
from 
a around the world m de secret pilgrimages to Rome hoping to join the Illuminati ",297
298,Rome,GPE,"Unfortunately, though, because of the Illuminati’s secrecy, scientists arriving in Rome never knew where to go for the meetings or to whom they could safely speak",298
299,Vatican,FAC,".”
“But if the Vatican wanted to find the Illuminati,” Vittoria argued, “couldn’t theysimply follow the markers?”
“No",299
300,Vatican,FAC,"If these markers were in public locations, certainly there existed members of the Vatican who could have figured it out",300
301,Rome,GPE,"They created ma that
rkers 
faded into the backdrop of ancient Rome",301
302,Rome,GPE,"First, the sculptures had to look like the rest of the artwork in Rome ",302
303,Vatican,FAC,artwork that the Vatican would neversuspect belonged to the Illuminati,303
304,Earth,LOC,"“Early alchemists believed the entire universe was made up of only four substances: Earth, Air, Fire, and Water",304
305,Earth,LOC,".”
The early cross, Langdon knew, was the most common symb 
ents-four
ol of the four elem 
arms representing Earth, Air, Fire, and Water",305
306,Earth,LOC,"Beyond that, though, there existed literallydozensof symbolic occurrences of Earth, Air, Fire, and Water throughout history-the Pythagorean cycles of life, the Chinese Hong-Fan, the Jungian male and female rudiments, the quadrants of the Zodiac, even the Muslims revered the four ancient elements ",306
307,Earth,LOC,".” For Langdon, though, it was a more modern usage that always gave him chillsthe Mason’s four mystic grades of Absolute Initiation: Earth, Air, Fire, and Water",307
308,Earth,LOC,"“So this Illuminati artist created four pieces of art that lookedreligious, but were actually tributes to Earth, Air, Fire, and Water?”
“Exactly,” Langdon said, quickly turning up Via Sentinel toward the archives",308
309,Rome,GPE,“The pieces blended into the sea of religious artwork all over Rome,309
310,Rome,GPE,"By donating the artwork anonymously to specific churches and then using their political influence, the brotherhood facilitated placement of these four pieces in carefully chosen churches in Rome",310
311,Earth,LOC,"If an Illuminati candidate could find the first church and the marker for Earth, he could follow it to Air ",311
312,the Northern Wing,LOC,"As he moved in dim solitude down the Northern Wing, the challenge of the past fifteen days weighed heavy in his bones",312
313,Vatican,FAC," 
As was Vatican tradition, following the Pope’s death the camerlegno had personally confirmed expiration by placing his fingers on the Pope’s carotid artery, listening for breath, and then calling the Pope’s name three times",313
314,Christendom,LOC,It was one of the oldest traditions in Christendom,314
315,the Great Elector,FAC,"Mortati’s appointment as the Great Elector, the camerlegno assured himself, was a good one",315
316,the Royal Staircase,FAC," 
As the camerlegno arrived at the top of the Royal Staircase, he felt as though he were standing on the precipice of his life",316
317,earth Carlo,FAC,"Where else would he be? Even in his short decade on earth Carlo had felt the majesty of God-the thundering pipe organs, the towering domes, the voices raised in song, the stained glass, shimmering bronze and gold",317
318,Palermo,GPE," the b 
His heaven, Carlo learned as 
linding lights were turned off, was actually the
Intensive Care Unit in Santa Clara Hospital 
een the soleoutside of Palermo",318
319,St. Francis,GPE,"Carlo had, for some unknown reason, only moments before the blast, left his mother’s side and ventured into a protected alcove to ponder a tapestry depicting the story of St",319
320,earth,LOC,seeing his mother’s face in the billowing white clouds as he soared to earth,320
321,the Royal Staircase,FAC," 
Now, as Camerlegno Carlo Ventresca descended the Royal Staircase, he tried to comprehend the chain of events that had delivered him to this extraordinary crossroads",321
322,the Sistine Chapel,FAC," 
He could see the great bronze door of the Sistine Chapel now, dutifu ur
lly protected by fo 
Swiss Guards",322
323,St. Peter’s,GPE," 48
B BC journalist Gunther Glick sat sweating in the BBC network van parked on the eastern edge of St",323
324,Vatican City,GPE,"Although Glick’s first monthly review had come back filled with superlatives-resourceful, sharp, dependable-here he was in Vatican City on “Pope-Watch",324
325,Vatican,FAC,"He was to sit here waiting for a bunch of old farts to elect their next chief old fart, then he was to step outside and record a fifteen-second “live” spot with the Vatican as a backdrop",325
326,Vatican City,GPE," 
The imperial m 
fore him 
ountain of Vatican City rose be as a dismal reminder of what men
could accom 
i 
plish when they put their m nds to it",326
327,Vatican City,GPE,"“Gunther Glick, BBC, Live in Vatican City",327
328,Vittoria,GPE,".”94 
L angdon and Vittoria stood alone now outside the double doors that led to the inner sanctum of the Secret Archives",328
329,Curatore,GPE," ARCHIVIO VATICANO 
Curatore, Padre Jaqui TomasoFather Jaqui Tomaso ",329
330,LEVANT,GPE,LEVANT ,330
331,Vatican,FAC,“Looks like the Vatican has its own system,331
332,scann,GPE,".”
Langdon proceeded do next aisle, scann 
wn the 
ing the tabs as he talked",332
333,Vatican,FAC,It is accepted theory now that the clue exists and that Galileo mass distributed it to the scientific community without the Vatican ever knowing,333
334,Vatican,FAC,".”
“That the Vatican no doubt saw",334
335,Diàlogo,GPE,"“Are you
fam 
ed
iliar with a book by Galileo call Diàlogo?”
“Of course",335
336,Vatican,FAC,"In the early 1630s, Galileo had wanted to publish a book endorsing the Copernican heliocentric model of the solar system, but the Vatican would not permit the book’s release unless Galileo included equally 
ence for the church’spersuasive evid geocentric model-a model Galileo knew to be dead wrong",336
337,Vatican,FAC," 
“As you probably know,” Langdon said, “despite Galileo’s compromise, Diàlogowas still seen as heretical, and the Vatican placed him under house arrest",337
338,Rome,GPE,"Like some of
Galileo’s previous manuscripts, Diagrammawas smuggled out of Rome ndby a friend a 
quietly published in Holland",338
339,Holland,GPE,"Like some of
Galileo’s previous manuscripts, Diagrammawas smuggled out of Rome ndby a friend a 
quietly published in Holland",339
340,Vatican,FAC,Then the Vatican caught wind of it and went on a book-burning campaign,340
341,Vatican,FAC,"But between the Vatican burnings and the booklet’s low permanence rating, the booklet has disappeared off the face of the earth",341
342,earth,LOC,"But between the Vatican burnings and the booklet’s low permanence rating, the booklet has disappeared off the face of the earth",342
343,Netherlands,GPE,"“And it’shere?”
“Confiscated from the Netherlands by the Vatican shortly after Galile n
o’s death",343
344,Vatican,FAC,"“And it’shere?”
“Confiscated from the Netherlands by the Vatican shortly after Galile n
o’s death",344
345,Illumina,LOC," 
It had something to do with the number you kept seeing in Illumina tters?
ti le 503?”
Langdon smiled",345
346,Vittoria,GPE,Now Langdon turned to Vittoria,346
347,distingu,GPE,"They were used by ancient scientists to distingu 
lile 
ish between the three Ga 
an documents most commonly confused",347
348,Vatican,FAC,"If this segno, this clue, this advertisement about the Path of Illumination was really in Galileo’s Diagramma,ee it when th 
why didn’t the Vatican s 
ey repossessed all the copies?”
“They may have seen it and not noticed",348
349,Vatican,FAC,".”
“The wrong people being the Vatican?”
“Not that they are wrong, per se, but the church has always downplayed the Illuminati threat",349
350,Vatican,FAC,"In the early 1900s the Vatican went so far as to say the Illuminati were a figment of overactive im 
nd perhaps rightly so, that the last thing
aginations",350
351,Vatican,FAC," 
“So you think the Vatican would have buried any evidence corroborating the Illuminati threat?”
“Quite possibly",351
352,Vatican,FAC," 
“The longest and most expensive legal proceeding in Vatican history",352
353,Vatican,FAC,"The Vatican, it seemed, took their archives a bit more seriously than m n
ost",353
354,"La 
 
ter",FAC," 
The door buzzed behind him, and La 
ter",354
355,Vatican,FAC,Something’s going on inside the Vatican,355
356,Galileo Galilei,FAC,"  DIAGRAMMA DELLA VERITA Galileo Galilei, 1639 
Langdon dropped to his knees, his heart pounding",356
357,Cambridge,GPE,"As his excitement mounted, Langdon feared at any moment he might awake back in Cambridge with a pile of test papers to gr 
pened the bag",357
358,Vatican,FAC,The Vatican exalted the perfection of thecircleand insisted heavenly motion must be only circular,358
359,Rome,GPE," “Merda, as we say in Rome",359
360,Vittoria,GPE,".” Using his spatula, he cut the stack like a deck of cards and lay the first half-dozen pages in front of Vittoria",360
361,Rome,GPE," Show yourself, damn it! Show yourself!53
S omewhere beneath Rome the dark figure prowled down a stone ramp into the underground tunnel",361
362,Vittoria,GPE,"When Langdon finished his final page, he cursed under his breath and looked over at Vittoria",362
363,Italy,GPE,".”
“Nobody spoke English in Italy, not even-”
“But this was in the 1600s,” Langdon argued",363
364,Vatican,FAC," 
nd humm 
“In the 1600s,” he said, talking faster
now, “Englishwas one language the Vatican had not yet embraced",364
365,Vatican,FAC,"They dealt in Italian, Latin, German, even Spanish and French, but English was totally foreign inside the Vatican",365
366,Earth,LOC,".” Langdon flashed suddenly on the Illuminati brands of Earth, Air, Fire, Water",366
367,Vatican,FAC," 
“So you’re saying maybe Galileo considered English la lingua purabecause it was the one language the Vatican did not control?”
“Yes",367
368,Vatican,FAC,"Or maybe by putting the clue in English, Galileo was subtly restricting the readership away from the Vatican",368
369,Rome,GPE,"Not only had Milton made a well-documented 1638
pilgrimage to Rome to “commune with enlightened men,” but he had held meetings with Galileo during the scientist’s house arrest, meetings portrayed a in m ny Renaissance
paintings, including Annibale Gatti’s famous Gal which hung even nowileo and Milton,
in the IMSS Museum in Florence",369
370,m ny Renaissance,FAC,"Not only had Milton made a well-documented 1638
pilgrimage to Rome to “commune with enlightened men,” but he had held meetings with Galileo during the scientist’s house arrest, meetings portrayed a in m ny Renaissance
paintings, including Annibale Gatti’s famous Gal which hung even nowileo and Milton,
in the IMSS Museum in Florence",370
371,Florence,GPE,"Not only had Milton made a well-documented 1638
pilgrimage to Rome to “commune with enlightened men,” but he had held meetings with Galileo during the scientist’s house arrest, meetings portrayed a in m ny Renaissance
paintings, including Annibale Gatti’s famous Gal which hung even nowileo and Milton,
in the IMSS Museum in Florence",371
372,Vittoria,GPE," 55
L angdon and Vittoria exploded onto the courtyard outside the Secret Archives",372
373,Vatican,FAC,far from the eyes of the Vatican ,373
374,Vittoria,GPE,"As they left the courtyard, Vittoria held out the folio for Langdon",374
375,New England,LOC,"He could still hear his father speaking the old New England aphorism: If it wasn’t painfully difficult, you did it wrong ",375
376,Rome,GPE," 
p, a clue unveiling the four a 
the four markers that
blazed a secret path across Rome",376
377,Vittoria,GPE,The verse flowed from Vittoria’s lips like a song,377
378,Rome,GPE,"From there, across Rome, the markers blazed the trail",378
379,Earth,LOC,"Earth, Air, Fire, Water ",379
380,Rome,GPE,"Even in the 1600s, the Pantheon, with its tremendous, holed dome, was one of the best known sites in Rome",380
381,Rome,GPE," 
“Oldest Catholic church in Rome",381
382,Rome,GPE,“But do you really think the first cardinal could be killed at the Pantheon? That’s got to be one of the busiest tourist spots in Rome,382
383,Vatican City,GPE,".”
“As impossible as kidnapping four cardinals from Vatican City? The poem is precise",383
384,the Courtyard of the Sentinel,FAC,"Does that mean anything to you?”
Langdon hastened diagonally across the Courtyard of the Sentinel",384
385,Rome,GPE,"“Earthly? Actually, there’s probably no more earthly place in Rome than the Pantheon",385
386,Earth,LOC,".”
As a student of architecture, Langdon had been amazed to learn that the dimensions of the Pantheon’s main chamber were a tribute to Gaea-the goddess of the Earth",386
387,Vatican City,GPE,“I have just removed a dozen of my best men from Vatican City on the eve of conclave,387
388,La,GPE,"It was a long shot that the Path of Illumination would be intact after all of these years, with but part of La 
all of its statues in place,
ngdon had fantasized about following the path all
the way to the end and coming face to face with the sacred Illuminati lair",388
389,Vatican,FAC,“The Vatican had all the statues in the Pantheon removed and destroyed in the late 1800s,389
390,Piazza della Rotunda,FAC,"Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",390
391,Sant’Eustachio,FAC,"Cars
to Piazza della Rotunda, Via delgi Orfani, Piazza Sant’Ignacio, and Sant’Eustachio",391
392,the Alpha Romeo,FAC," 
Langdon felt himself sweating now in his Harris tweed in the backseat of the Alpha Romeo, which was idling in Piazza de lathe 
Concorde, three blocks from Pantheon",392
393,Piazza de la,FAC," 
Langdon felt himself sweating now in his Harris tweed in the backseat of the Alpha Romeo, which was idling in Piazza de lathe 
Concorde, three blocks from Pantheon",393
394,Oliv,GPE,"The phone on Oliv 
ing",394
395,Vittoria,GPE," 
“It’s dangerous,” Langdon said to Vittoria",395
396,Vatican,FAC," 59
T he Swiss Guard “staging room” is located adjacent to the Corpo di Vigilanza barracks and is used primarily for planning the security surrounding papal appearances and public Vatican events",396
397,Roc,GPE,"They sometime 
her was
s joked that Roc 
“the bear who walked in the viper’s shadow",397
398,Vatican City,GPE,He had been in Vatican City only three months,398
399,Bern,GPE,"Like every man there, Chartrand was Swiss Arm 
d tw 
y trained and had endure 
o
years of additional ausbildingin Bern before qualifying for the grueling Vatican pròvaheld in a secret barracks outside of Rome",399
400,Vatican,FAC,"Like every man there, Chartrand was Swiss Arm 
d tw 
y trained and had endure 
o
years of additional ausbildingin Bern before qualifying for the grueling Vatican pròvaheld in a secret barracks outside of Rome",400
401,Rome,GPE,"Like every man there, Chartrand was Swiss Arm 
d tw 
y trained and had endure 
o
years of additional ausbildingin Bern before qualifying for the grueling Vatican pròvaheld in a secret barracks outside of Rome",401
402,"La 
 
",GPE,".”60
T wo blocks from the Pantheon, La 
and Vittoria app 
ngdon
roached on foot past a line of
taxis, their drivers sleeping in the front seats",402
403,the Eternal City,LOC,Nap time was eternal in the Eternal City-the ubiquitous public dozing a perfected extension of the afternoon siestas born of ancient Spain,403
404,Spain,GPE,Nap time was eternal in the Eternal City-the ubiquitous public dozing a perfected extension of the afternoon siestas born of ancient Spain,404
405,Cambridge,GPE,Six hours ago he had been sound asleep in Cambridge,405
406,Europe,LOC,"Now he was in Europe, caught up in a surreal battle of ancient titans, packing a semiautomatic in his Harris tweed, and holding hands with a woman he had only just met",406
407,Vittoria,GPE," 
He looked at Vittoria",407
408,Piazza della Rotunda,FAC,".”
As they rounded the corner into Piazza della Rotunda, the Pantheon rose before them",408
409,Earth,LOC, Gods of Nature and Earth ,409
410,M AG,FAC,"M AG PP 
RI 
A L F COS TERTIUM FECIT",410
411,Rome,GPE,Others sat enjoying Rome’s best iced coffee at La Tazza di Oro’soutdoor cafe,411
412,St. Peter’s,GPE,The sprawling ceiling hovered overhead as though weightless-the 141-foot unsupported span larger even than the cupola at St,412
413,Vatican,FAC,"Sadly, Langdon knew they once contained statues of the Olympian gods, but the pagan sculptures had been destroyed when the Vatican converted the Pantheon to a Christian church",413
414,Italy,GPE," 
As Langdon m 
e 
oved toward the first recess, hpassed the tomb of one of Italy’s Catholic kings",414
415,Rome,GPE,"The sarcophagus, like many in Rome, was askew with the wall, positioned awkwardly",415
416,Rome,GPE,“It is my job to make your visit to Rome more interesting,416
417,Rome,GPE,".”More interesting?
s certain this part Langdon wa 
icular visit to Rome was plenty 
interesting",417
418,Superdome,FAC,".”
“It was the world’s largest free-standing dome until 1960 when it was eclipsed by the Superdome in New Orleans!”
Langdon groaned",418
419,New Orleans,GPE,".”
“It was the world’s largest free-standing dome until 1960 when it was eclipsed by the Superdome in New Orleans!”
Langdon groaned",419
420,Vatican,FAC,hercanister that was now counting down inside the Vatican,420
421,Vatican,GPE,"It is under secret preservation in the Vatican Arc-”
“Could you excuse us 
used by Vittoria’s panic",421
422,Urbino,GPE,"Urbino,” he stammered, now looking bewildered",422
423,Rome,GPE,“The Illuminati altars of science were here in Rome,423
424,Rome,GPE,In Rome,424
425,Rome,GPE,“This was Raphael’s only tomb in Rome,425
426,Rome,GPE,"If Raphael’s tomb wasn’t in Rome in 1655, then what was the poem referring to? Santi’s earthly tomb with demon’s hole? What the hell is it? Think!
“Was there another artist called Santi?” Vittoria asked",426
427,Renaissance,GPE,"Half of the sculpting done
in Renaissance and Baroque Rome was for the funeraries",427
428,Rome,GPE,"Half of the sculpting done
in Renaissance and Baroque Rome was for the funeraries",428
429,ny,GPE,"He designed so ma 
ean a
ny",429
430,the Chigi Chapel,FAC,“It’s called the Chigi Chapel,430
431,this Chigi Chapel,FAC,"“Signore, whereis this Chigi Chapel?”
“About a mile north",431
432,Santa Maria del Popolo,GPE,In the church of Santa Maria del Popolo,432
433,Earth,LOC,“Chapel of the Earth,433
434,the Chigi Chapel,FAC,"“Wrong? What do you mean?”
“The first altar of science is at the Chigi Chapel!”
“Where?” Now Olivetti sounded angry",434
435,the Loch Ness Monster,LOC,".”
“So are witches, UFOs, and the Loch Ness Monster",435
436,U.S.,GPE,“Looks like Woodrow Wilson gave three radio broadcasts in 1921 warning of growing Illuminati control over the U,436
437,France,GPE,"Accounts tracing the Illuminati back to Galileo, the Guerenetsof France, the Alumbradosof Spain",437
438,Spain,GPE,"Accounts tracing the Illuminati back to Galileo, the Guerenetsof France, the Alumbradosof Spain",438
439,America,GPE,"“The Journal?”
“Guess what the most popular Internet computer game in America is right now?”
“Pin the tail on Pamela Anderson",439
440,Bavaria,GPE,a quasi-historical adventure in  which an ancient satanic brotherhood from Bavaria sets out to take over the world,440
441,Vatican,FAC,"“Although from the phone call we just got, it appears they dohave a special spot in their hearts for the Vatican",441
442,Vittoria,GPE,".”64
L angdon and Vittoria’s taxi completed the one-mile sprint up the wide Via della Scrofa in just over a minute",442
443,the Piazza del Popolo,FAC,They skidded to a stop on the south side of the Piazza del Popolo just before eight,443
444,U.S.,GPE,"Not having any lire, Langdon overpaid the driver in U",444
445,Rosati Café,FAC,The piazza was quiet except for the laughter of a handful of locals seated outside the popular Rosati Café-a hot spot of the Italian literati,445
446,Rome,GPE,"Spoils of Rome’s imperial 
elisks were scattered acrossplundering, ob 
Rome and referred to by symbologists as “Lofty Pyramids”-skyward extensions of the sacred pyramidal form",446
447,Rome,GPE,"Spoils of Rome’s imperial 
elisks were scattered acrossplundering, ob 
Rome and referred to by symbologists as “Lofty Pyramids”-skyward extensions of the sacred pyramidal form",447
448,Porta del Popolo,FAC,.” Langdon pointed to the imposing Porta del Popolo-the high stone archway at the far end of the piazza,448
449,the United States,GPE,"the Great Seal of the United States?”
“Exactly",449
450,the Vatican Museums,FAC,".”
At that moment, inside the Vatican Museums, a task force of Swiss Guards spread out in all directions",450
451,Vatican,FAC,Every guard wore headphones connected to an antennalike detector that he waved rhythmically in front of him-the same devices they used twice a week to sweep for electronic bugs inside the Vatican,451
452,"und 
 
",GPE,"They moved methodically, checking behi 
er
nd statues, inside niches, closets, und 
furniture",452
453,Santa Maria del Popolo,GPE," 65
T he interior of Santa Maria del Popolo was a murky cave in the dimming light",453
454,Pinturicchio fresco,FAC,Langdon stood with Vittoria beneath a sprawling Pinturicchio fresco and scanned the gutted shrine,454
455,this Chigi Chapel,FAC,"“Where is this Chigi Chapel?”
Langdon gazed through the dusky ghostliness toward the back of the cathedral and studied the outer walls",455
456,Notre Dame,FAC,"Contrary to common perception, Renaissance cathedrals invariably contained multiplechapels, huge cathedrals like Notre Dame having dozens",456
457,Vittoria,GPE,"The creature paused when it saw them, staring a long moment down the barrel of Vittoria’s weapon, and then, apparently unmoved, continued dragging its prize off to the recesses of the church",457
458,moveme,GPE," 
Langdon scanned the basilica for moveme 
ispered, “If this guy’s here, he sure as
nt and wh 
hell heard that ",458
459,the Chigi Chapel,FAC," 
It seemed the Chigi Chapel was located in the third of four recessed alcoves to their right",459
460,the Chigi Chapel,FAC,"They would have to traverse the length of the cathedral, passing three other chapels, each of them, like the Chigi Chapel, covered with translucent plastic shrouds",460
461,the Chigi Chapel,FAC,"Finished entirely in chestnut marble, the Chigi Chapel was breathtaking",461
462,Earth,LOC,"The zodiac was also tied directly to Earth, Air, Fire, Water ",462
463,Earth,LOC,"Earth is for power , Langdon recalled",463
464,Earth,LOC," 
Farther down the wall, Langdon saw tributes to the Earth’s four temporal seasonsprimavera, estate, autunno, invérno ",464
465,Rome,GPE,"Gunther Glick was checking his map of Rome, apparen t",465
466,St. Peter,GPE," 
“Shouldn’t we be back at St",466
467,Italy,GPE,".”
“So what?”
“Four identical cars, allwith four passengers?”
“You ever heard of carpooling?”
“In Italy?” Glick checked the intersection",467
468,the Chigi Chapel,FAC,deeper and deeper beneath the floor of the Chigi Chapel,468
469,earth,LOC,He was buried up to his waist in the earth,469
470,Earth,LOC,Earth,470
471,Earth,LOC,"Earth, Air, Fire, Water ",471
472,Earth,LOC,The first element was Earth,472
473,Earth,LOC,"Earth? How? And yet, an instant later, it was before him",473
474,Earth,LOC," 
“Earth,” he whispered, tilting his head to see the symbol upside down",474
475,Earth,LOC,“Earth,475
476,the Sistine Chapel,FAC," 68
D espite the soft glow of candlelight in the Sistine Chapel, Cardinal Mortati was on edge",476
477,the Sistine Chapel,FAC," 
The doors to the Sistine Chapel had been sealed, as was the custom, with two heavy chains on the outside",477
478,Mortati,GPE," Proceed as we must , Mortati decided, taking his lead from the resolve in the camerlegno’s voice",478
479,Mortati,GPE," 
Now it was time for Mortati to go to work",479
480,Mortati,GPE," 
Leaving the plate on top of the chalice, Mortati shook the ballots to mix them",480
481,Mortati,GPE,"Almost immediately, Mortati sensed this first vote would be failed",481
482,Earth,LOC, Earth,482
483,Earth,LOC,Earth,483
484,Vittoria,GPE," 
Olivetti was screaming at Vittoria",484
485,The Chigi Chapel,FAC,The Chigi Chapel was packed with Swiss Guards,485
486,Vatican,FAC,Galileo was a thorn in the Vatican’s side,486
487,Vatican,FAC,Bernini was the Vatican’s wonder boy,487
488,Vatican,FAC,He was elected the Vatican’s overall artistic authority,488
489,Vatican City,GPE,"He practically lived inside Vatican City his entire life!”
“A perfect cover",489
490,Vatican,FAC,"That way, the Vatican would never find out",490
491,Rome,GPE,"Could it be that here in this tiny Chigi Chapel, the worldrenowned Bernini had placed a sculpture that pointed across Rome toward the next altar of science?
“Bernini,” he said",491
492,Rome,GPE,".”
“Who other than a famous Vatican artist would have had the clout to put his artwork in 
specific Catholic chapels around Rome and create the Path of Illumination?notCertainly 
an unknown",492
493,pyram,GPE,"He had been so
ids and dem 
taken with the pyram 
on’s hole,
he had not even seen this sculpture",493
